UserID,PlaylistTitle,Tags,SongID,Title,Rank,Singer,Album,Likes,ReleaseDate,Genre,CommentsCount,Lyrics,AlbumImageURL,Composers,Lyricists,Arrangers
알앤비추천 ,선선해지는 밤 무드있는 r&b 모음,"['#알앤비', '#무드', '#분위기', '#선선한', '#밤', '#산책', '#기분전환', '#R', '#감성', '#감성적인']",35107561,BTBT (Feat. DeVita),1,B.I,BTBT (Feat. DeVita),"9,643",2022.05.13,댄스,94개,"When my eyes are on u
숨막힐듯한 전율
Oh you know you get me loose
Make me go 비틀비틀
A dance floor made for 2
달이 부르는 선율
Oh it’s only me and u
Make me go 비틀비틀
You bring the demon out of me
Blame it all on your body
We might be an hour late
We ain’t got no time to waste
꿈을 꾸는 기분이야
잡은 손을 놓지마
내일은 안 중요해
이 순간을 몰입해
Oh I got plenty
I done seen em’ all but of you
there ain’t many said they win
the race so I’m slow
and I’m steady
but can’t move this slow
in a Bentley ohh
You say you need a
a true lover someone
to kiss and hug ya
you feigning for some touching aye
I could be all that and above
I just hope that I’m enough
Cause I don’t ever do this
When my eyes are on u
숨막힐듯한 전율
Oh you know you get me loose
Make me go 비틀비틀
A dance floor made for 2
달이 부르는 선율
Oh it’s only me and u
Make me go 비틀비틀
춤을 추지 날 위해
만취해 너의 향기에
세상을 다 알기에
인생은 짧으니 시간을 맘껏 낭비해
거리를 방황하자 우리
둘 뿐인 것처럼 말이야
아찔하고 위험할 수록
내 심장은 뛰어
That’s why I love ya
Oh I got plenty
I done seen em’ all but of you
there ain’t many said they win
the race so I’m slow
and I’m steady
but can’t move this slow
in a Bentley ohh
You say you need a
a true lover someone
to kiss and hug ya you
feigning for some touching aye
I could be all that and above
I just hope that I’m enough
Cause I don’t ever do this
When my eyes are on u
숨막힐듯한 전율
Oh you know you get me loose
Make me go 비틀비틀
A dance floor made for 2
달이 부르는 선율
Oh it’s only me and u
Make me go 비틀비틀
Yeah
Front back side to side
Pull up then I drop the top
on a new ride
Buss down Cartier cost 35
30,000 square feet 
in the air stay fly
Red carpet
I was fresh suit and tie
Jumped off the stage
ion even know why
Everytime I drop
a new hit we on fire
Ya we going viral
I know that I inspired you
Jump on a jet let’s get away
Out of town
Find somewhere away
We can’t be found
Buss down that Cartier
I came from the ground
Ain’t no other man
In the town
Rolling up the Zaza woods right
out the pound
Don’t look at my water
You gon drown
Everybody know Big Draco
It’s going down
When my eyes are on u
숨막힐듯한 전율
Oh you know you get me loose
Make me go 비틀비틀
A dance floor made for 2
달이 부르는 선율
Oh it’s only me and u
Make me go 비틀비틀
Make me go 비틀비틀
Make me go 비틀비틀",https://cdnimg.melon.co.kr/cm2/album/images/109/52/593/10952593_20220512192108_500.jpg?2ece1e39ed87242ff082f5df69652b02/melon/resize/282/quality/80/optimize,"Stereotypes, 9am","B.I, Soulja Boy, Aja Ayanna Cruz, Ale Alberti","Stereotypes, 9am"
알앤비추천 ,선선해지는 밤 무드있는 r&b 모음,"['#알앤비', '#무드', '#분위기', '#선선한', '#밤', '#산책', '#기분전환', '#R', '#감성', '#감성적인']",30707718,RIDE (Feat. THAMA),2,SOLE (쏠),RIDE,"112,716",2017.11.03,R&B/Soul,262개,"어제부터 오늘까지 난 피곤해
아직도 잠이 덜 깼어
음악을 틀고 난 휴대폰을 켜지
날씨를 확인하고 창문을 열어
나 지금 아주 easy해 yeah
친구들은 뭘 하고 있는지
연락을 해볼까
Oh 나가봐도 maybe 난 혼자인데
전화가 울리네
어디야 girl let's ride a bike
come on
날씨 좋은데 한강으로 모여
빼는 애들은 도대체 뭐야
Come and ride come and ride
come and ride yeah
어디야 girl let's ride a bike
come on
날씨 좋은데 한강으로 모여
빼는 애들은 도대체 뭐야
Come and ride come and ride
come and ride yeah
Let’s ride come and ride
come and ride
Let’s ride come and ride
come and ride
지금도 이 시간까지 나 고민해
요즘엔 뭐가 좋을지
매일 복잡하고 좀 지루하긴 해도 Oh
행복이 뭐 별거 있어 라고 해도
아직은 뭔가 부족해 Yeah
친구들은 뭘 하고 있는지
연락을 해볼까
Oh 오늘도 난 maybe 또 혼자인데
전화가 울리네
어디야 girl let's ride a bike
come on
날씨 좋은데 한강으로 모여
빼는 애들은 도대체 뭐야
Come and ride come and ride
come and ride yeah
어디야 girl let's ride a bike
come on
날씨 좋은데 한강으로 모여
빼는 애들은 도대체 뭐야
Come and ride come and ride
come and ride yeah
Oh 난 생각해봐도 너와 다른 가봐
I just wanna lay all day
Oh 난 아무래도 lookin’ for some
better day No No No
Because I’m lonely
I don't want some fun
더 이상은 해가 뜨는 날도
바람이 불어 시원해졌대도
Still I belong here but your
wanna vibe with me now
Baby won't you come
하고 싶은 대로 다 하게 해줄게
원한다면 어디든 데려다 줄게 Oh
I'm on my way to you now
Oh let’s ride come and ride
come and ride
All I want is just to vibe
with you now
Let’s ride come and ride
come and ride
Let’s ride come and ride
come and ride
Let’s ride come and ride
come and ride",https://cdnimg.melon.co.kr/cm/album/images/101/08/359/10108359_500.jpg?1ee0c7a2b7a0965308aec33da4bbfa5d/melon/resize/282/quality/80/optimize,"SOLE (쏠), THAMA, Devine Channel","SOLE (쏠), THAMA","SOLE (쏠), THAMA, Devine Channel"
알앤비추천 ,선선해지는 밤 무드있는 r&b 모음,"['#알앤비', '#무드', '#분위기', '#선선한', '#밤', '#산책', '#기분전환', '#R', '#감성', '#감성적인']",35353440,후회 (feat. 김승민),3,차우주,L.V.D (LOVED YOU),"3,548",2022.06.30,"랩/힙합, 인디음악",11개,"우리 사이는 후회
Oh 왜 우린 알면서도 또 해
이젠 아냐 우린 no way
떠날게 이 노래를 통해
자기야 우리 사이는 후회
Oh 왜 우린 알면서도 또 왜
후회뿐야 못 놓아
뭐든말야 너랑
결국엔 반복되지 우리 사인 또
이건 말로 안되서 네게 가는걸
애가 타는걸 후회뿐이 다인걸
난 괜찮은 것 같아도 이건 아닌걸
I gotta take champagne
I'm sippin on this 매일
Oh 왜 가려고해
이건 아냐 babe
전부 다 떠나 가고서 알것같아
그래 난 너와 가까운 거리같아
Baby 우리 사인 후회 그건 no way
이제와서야 넌 왜 떠나려고해
시간은 넘 빨리도 지나는걸
she tryna go 안 놓쳐 빛나는널
내 모든걸 다 바쳐 baby I love
Gotta run baby 널 잡으려면
할말이 너무 많아
한번만 더 속아줘
우리 사이는 후회
Oh 왜 우린 알면서도 또 해
이젠 아냐 우린 no way
떠날게 이 노래를 통해
자기야 우리 사이는 후회
Oh 왜 우린 알면서도 또 왜
후회뿐야 못 놓아
뭐든말야 너랑
후에 꼭 후회할 거 알잖아
주변 친구의 말도 맞지만
영원한 사랑없듯 영원한 후회도
없다고 믿을게 지금 이 한 순간
너의 모습이 마치 weekend
꼴이 딱 나야
우린 마쳤으니까
미치지 않고선 끝나야지만
어떻게 한번 더
시작 하는게 어떻냔 너의
bullshxt에 불붙인 내게 한숨 나와
하나 둘 셋
또 냅다 잡은 기회 그게
독일지 성배일지 모르지만
일단 마셔 두개
나도 잘 모르는데
너라고 잘알고 그랬겠냐고
넘어가는거지 뭐 어때
또 너에게 친한척 바로 못하지만 또
못하겠단 소린 집어치우고
나도 잘 모르겠다고
근데 맘이 이끄는걸 어쩌라고
우리 사이는 후회
Oh 왜 우린 알면서도 또 해
이젠 아냐 우린 no way
떠날게 이 노래를 통해
자기야 우리 사이는 후회
Oh 왜 우린 알면서도 또 왜
후회뿐야 못 놓아
뭐든말야 너랑",https://cdnimg.melon.co.kr/cm2/album/images/109/93/652/10993652_20220629112026_500.jpg?fe08652a48542f08c1a31fa93a7f063b/melon/resize/282/quality/80/optimize,"차우주, 김승민, Grabby","차우주, 김승민","차우주, Grabby"
알앤비추천 ,선선해지는 밤 무드있는 r&b 모음,"['#알앤비', '#무드', '#분위기', '#선선한', '#밤', '#산책', '#기분전환', '#R', '#감성', '#감성적인']",30038185,어떻게 지내,4,Crush,wonderlust,"160,611",2016.10.14,R&B/Soul,352개,"적당히 먼 새벽에 현관문을 열고 
익숙한 고요함은 
어김없이 날 반겨 
따뜻한 겨울 나른한 봄 
뜨거웠던 여름 지나 
내 사계절에 꿈은 다 너였는데 
방 안은 가을 속에 머물러 
난 아직도 잊지 못하고 
남겨진 너의 향기들 그 속에 살아 
있잖아 넌 모르겠지만 
너무 보고 싶어 
넌 어떻게 지내 
어떻게 지내 나 없이 
하루가 참 기네 
원래 다 이래 이별이 
Woo Woo Don’t wanna fall in love 
추웠던 겨울 무기력한 봄 
무더웠던 여름 지나 
어찌 보면 난 잘 지내 아니 못 지내 
내 현실은 너 없는 
잔인한 가을인데 
난 아직도 잊지 못하고 
남겨진 너의 향기들 그 속에 살아
넌 알지도 모르겠지만
너무 보고 싶어
넌 어떻게 지내
어떻게 지내 나 없이
하루가 참 기네
원래 다 이래
Woo Woo I wanna fall in love
이 노래가 닿길 바래 너의 마음에",https://cdnimg.melon.co.kr/cm/album/images/100/06/417/10006417_500.jpg?67abf026f3b577a722122c5624d21d99/melon/resize/282/quality/80/optimize,"Crush, 신용식 (Stay Tuned), 홍소진","Crush, 개코","Crush, 신용식 (Stay Tuned), 홍소진"
알앤비추천 ,선선해지는 밤 무드있는 r&b 모음,"['#알앤비', '#무드', '#분위기', '#선선한', '#밤', '#산책', '#기분전환', '#R', '#감성', '#감성적인']",32643920,Pink cheeks,5,eldon,Pink cheeks,"30,073",2020.06.04,"인디음악, 록/메탈",69개,"Let's leave it with me
Just step by step
Sorry that im quick of foot
I'll walk your step
I’m wondering now
Where is your wings
Tremble lips
And blurry eyes
And Your pink cheeks
Let's leave it with me
Just step by step
Sorry that im quick of foot
I'll walk your step
I’m wondering now
Where is your wings
Tremble lips
And blurry eyes
And Your pink cheeks
And we should make the plan
Then actual date and time will you
You never say for sure
I wanna know how you think and feel
That i wanna say is
People might be watching
That' is what i'm wanting
네게 보이는 halo
Maybe i am weirdo
All my friends are talkin’
But i don’t give a shit
눈에 보이는 halo
Maybe i’m the weirdo
Let's leave it with me
Just step by step
Sorry that im quick of foot
I'll walk your step
I’m wondering now
Where is your wings
tremble lips
And blurry eyes
And Your pink cheeks
And we should make the plan
Then actual date and time will you
You never say for sure
I wanna know how you think and feel
That i wanna say is
People might be watching
That' is what i'm wanting
네게 보이는 halo
Maybe i am weirdo
All my friends are talkin’
But i don’t give a shit
눈에 보이는 halo
Maybe i’m the weirdo
Say that you’re the one i need
I loved you since i kissed your cheeks
Say that you’re the one i need
I loved you since i kissed your cheeks",https://cdnimg.melon.co.kr/cm2/album/images/104/39/065/10439065_20200603143802_500.jpg?b3075fe6cef33f565479dd51ffa19f16/melon/resize/282/quality/80/optimize,eldon,eldon,Shyun
알앤비추천 ,선선해지는 밤 무드있는 r&b 모음,"['#알앤비', '#무드', '#분위기', '#선선한', '#밤', '#산책', '#기분전환', '#R', '#감성', '#감성적인']",35642015,FLOWER,6,돕도지 (dopedozy),월간 돕도지 9월호,130,2022.09.16,R&B/Soul,2개,"갈게.
무한히 많은 날들이 지나가도
우린 내 맘에 멈춰있어.
꽃처럼.
내 맘에 있어.
무한히 많은 날들이 지나가도.
우린 내 맘에 멈춰있어.
꽃처럼.
내 맘에 있어.
추억도 병인가봐
아니면 내가 널 만나
너무 행복했었나봐
첨엔 많이 미웠었다
점점 더 무뎌지고
기억은 선명해져
우린 나이를 먹고
넌 여기 그대로 있어.
oh baby. i miss you. where you are
널 아직 못 잊어
다시 만날 일 없어도
oh baby. i miss you. but 아프게
했던 너 때문에 널 잊으려 노력해
무한히 많은 날들이 지나가도
우린 내 맘에 멈춰있어.
꽃처럼.
내 맘에 있어.
무한히 많은 날들이 지나가도
우린 내 맘에 멈춰있어.
꽃처럼.
내 맘에 있어.",https://cdnimg.melon.co.kr/cm2/album/images/110/57/075/11057075_20220915180415_500.jpg?031785c9fc752c3edbcc4e0e14eb215c/melon/resize/282/quality/80/optimize,"돕도지 (dopedozy), Oee",돕도지 (dopedozy),
알앤비추천 ,선선해지는 밤 무드있는 r&b 모음,"['#알앤비', '#무드', '#분위기', '#선선한', '#밤', '#산책', '#기분전환', '#R', '#감성', '#감성적인']",35018128,Lovey Dovey (Feat. meenoi),7,BIG Naughty (서동현),Lovey Dovey,"37,834",2022.05.04,R&B/Soul,123개,"Lovey Dovey
여기저기 퍼지는 나의 목소리
But 오직 너를 위해 불러
이건 그냥 놀이
같은 거야 내게 중요한 건
너의 목걸이가
더 밝게 빛나는 거
빛 안 바라는 걸로
네가 신나 하는 거
그게 내 낙이야 Girl
So 가지마
내 옆에 딱 붙어있어
난 모니터링 할래 너의 하루를
Lovey Dovey
어디 거기 그래 가자
어리바리 그건 내 팔자
허리부터 발끝까지
풀린 머린 묶지 말자
미쳐버린 듯한
파도를 타는 듯한
기분이 들어도 막
차를 타면 돼
늦어버린 듯한
또 지쳐버린 듯한
기분이 들어도 그냥
걱정은 하지 말자
넌 나를 보고 있고
나도 널 보고 있잖아
그거면 돼
우리는 사랑을 하고 있잖아
Lovey Dovey
Lovey Dovey
Lovey Dovey
Lovey Dovey
L-O-VEY Dovey
L-O-VEY Dovey
L-O-VEY Dovey
L-O-VEY Dovey
가만히 있어 보자
어른스러운 척하는 너의 모습에
매일매일이 웃음을
참느라 바쁘지만
난 모른 체 하면
넌 멋진 말 하지
Lovey Dovey
When I found the love
어디 거기 그래 가자
어리바리 그건 내 팔자
허리부터 발끝까지
풀린 머린 묶지 말자
미쳐버린 듯한
파도를 타는 듯한
기분이 들어도 막
차를 타면 돼
늦어버린 듯한
또 지쳐버린 듯한
기분이 들어도 그냥
걱정은 하지 말자
넌 나를 보고 있고
나도 널 보고 있잖아
그거면 돼
우리는 사랑을 하고 있잖아
Lovey Dovey
Lovey Dovey
Lovey Dovey
Lovey Dovey
L-O-VEY Dovey
L-O-VEY Dovey
L-O-VEY Dovey
L-O-VEY Dovey",https://cdnimg.melon.co.kr/cm2/album/images/109/41/011/10941011_20220503153950_500.jpg?b70aa8e5d54f0203e0a9429cd2d4a8ce/melon/resize/282/quality/80/optimize,"sec paul, BIG Naughty (서동현), meenoi (미노이)","BIG Naughty (서동현), meenoi (미노이)","sec paul, BIG Naughty (서동현)"
알앤비추천 ,선선해지는 밤 무드있는 r&b 모음,"['#알앤비', '#무드', '#분위기', '#선선한', '#밤', '#산책', '#기분전환', '#R', '#감성', '#감성적인']",32243272,Bunny,8,백예린 (Yerin Baek),Every letter I sent you.,"42,558",2019.12.10,R&B/Soul,246개,"I am your bunny that you hold tight, when you go to sleep
난 네가 잘 때 안고자는 토끼야 
I am your morning
나는 너의 아침!
I’m no sunshine 
내가 햇살은 아니지만
but you say I light up your world baby
너는 내가 너의 세상을 밝혀 준다고 말하잖아
 
I am your baby
나는 너의 아이야
that you won’t let go, even If the world’s go down
세상이 무너진 데도 놓지 않을 
Don’t you worry, 
걱정하지 마 
I will be anything 
무엇이든 될 거야 
Is that you wanna hear?
이게 네가 듣고 싶은 말 맞아?
so call me anything 
그러니 날 뭐라 부르든 좋아 


I could be everything to you 
난 너에게 모든 것이지만 
but at the same time, I’d be nothing at all 
동시에 아무것도 아닌 게 될 수도 있어
of course, now I’m very precious to you
물론 지금은 내가 너에게 소중하겠지만
but I will still be needing time to have faith in you 
그래도 아직 믿음을 갖는 데에는 시간이 필요할거야


For you I am burning, 
난 널 위해 불타고 있어 
fastest I could 
할 수 있는 한 빠르게
for our loving 
우리의 사랑을 위해
I would have nothing 
난 아무것도 필요 없어
I’m very passionate
매우 열정적이야 
I know so do you, my darling 
너도 그렇겠지만 말야

I am belonging 
난 속해 있어 
like the sky above us includes the clouds and a sun
마치 하늘이 구름과 해를 품고 있는 것처럼
I would be raining and be pouring through you 
너에게 내리고 쏟아 부을 거야
Is that you wanna hear?
이게 네가 듣고 싶은 말 맞아?
I’m telling everything 
난 모든 걸 얘기하고 있어 


I could be everything to you 
난 너에게 모든 것이지만 
but at the same time, I’d be nothing at all 
동시에 아무것도 아닌 게 될 수도 있어
of course, now I’m very precious to you
물론 지금은 내가 너에게 소중하겠지만
but I will still be needing time to have faith in you 
그래도 아직 믿음을 갖는 데에는 시간이 필요할거야


I’m telling everything, so be my everything
난 모든 걸 얘기하고 있어, 그러니 나의 모든 것이 되어줘
I could be anything, tell me everything you need
난 무엇이든 될 수 있어, 필요한 것들 전부 얘기해줘

hu hu- hu hu hu wu-
hu hu- hu hu

I am your bunny
나는 너의 토끼
I am your morning
나는 너의 아침
I am your baby
나는 너의 사랑
I am your darling
나는 너의 연인

I am your bunny
나는 너의 토끼
I am your morning
나는 너의 아침
I am your baby
나는 너의 사랑
I am your bunny
나는 너의 토깽",https://cdnimg.melon.co.kr/cm2/album/images/103/62/776/10362776_20191210144641_500.jpg?72384ea6f2169ad829dd9450d2382fe3/melon/resize/282/quality/80/optimize,백예린 (Yerin Baek),백예린 (Yerin Baek),"백예린 (Yerin Baek), 구름"
알앤비추천 ,선선해지는 밤 무드있는 r&b 모음,"['#알앤비', '#무드', '#분위기', '#선선한', '#밤', '#산책', '#기분전환', '#R', '#감성', '#감성적인']",31297008,Dank,9,박재범,V,"30,953",2018.09.10,R&B/Soul,207개,"It’s you and I you
and I you and I
Let’s get lifted
and meet in the sky
Fuck a keyboard
oh girl you’re my type
Let’s shoot a movie all night
Cruising in the drop top
Girl show me your tatas
We some kungfu masters
Kicking it kicking it
Hotter than Sriracha
Fancy like a lobster
Soju fully stocked up
Sipping it sipping it
Look at the team we shining
Ben Baller did the chain
They call me king your hinus
Don't fuck up my fung si
Baby girl lets run a way
Bali Jeju in a day
Lord please just keep us safe
Board the plane
Taking off we taking off
taking off
These haters hating
we shake it off shake it off
We breaking bread break it off
break it off
We popping tags
we don't care the cost
Fucking shit up leaving a trail
open your eyes you'll find it
H1GHR the gang AOMG
yeah it’s the perfect timing
Shit about to blow
bout to hit the fan
Seattle 2 Seoul
yeah I'm feeling like the man
It’s you and I you
and I you and I
Let’s get lifted
and meet in the sky
Fuck a keyboard
oh girl you’re my type
Let’s shoot a movie all night
Cruising in the drop top
Girl show me your tatas
We some kungfu masters
Kicking it kicking it
Hotter than Sriracha
Fancy like a lobster
Soju fully stocked up
Sipping it sipping it
Sipping it sipping it now
I be giggin' I'm gigging
Yeah I be swimming in women
Feel like my blessings infinite
So I thank God
I thank God one time
This is my world
I'm living my best life yeah
We taking off we taking off
taking off
These hater's hating
we shake it off shake it off
We breaking bread break it off
break it off
We popping tags
we don't care the cost
We don’t care the cost
And I don’t know where we going
But where ever we go
We looking fly mothafucka yeah
It’s you and I you
and I you and I
Let’s get lifted
and meet in the sky
Fuck a keyboard
oh girl you’re my type
Let’s shoot a movie all night
Cruising in the drop top
Girl show me your tatas
We some kungfu masters
Kicking it kicking it
Hotter than Sriracha
Fancy like a lobster
Soju fully stocked up
Sipping it sipping it",https://cdnimg.melon.co.kr/cm/album/images/102/02/633/10202633_500.jpg?b5925995a0f4e07b8996b236518ac565/melon/resize/282/quality/80/optimize,"Mokyo, 박재범",박재범,Mokyo
알앤비추천 ,선선해지는 밤 무드있는 r&b 모음,"['#알앤비', '#무드', '#분위기', '#선선한', '#밤', '#산책', '#기분전환', '#R', '#감성', '#감성적인']",31184764,Slow,10,SOLE (쏠),Slow,"64,258",2018.07.13,R&B/Soul,222개,"I don't wanna go back
난 오늘 하루도
밑 빠진 독에 물을 부어야 해
사람들은 말해 서둘러야만 해
매번 같은 말에 많이 지쳤어 난 이제
그래 그땐 그랬지 참 좋았지
힘들어도 난 마냥 좋았어 난
어디서부터 어떻게
저 멀리 보이는 수평선까지
가지 않아도 돼 잠깐 멈춰도 돼
그래도 돼
Take it slow
Slow
Go Slow
Slow
괜찮아 아직까지는 나
모든게 완벽하진 않아도
매일 밤 반복되는 꿈에
무서워 잠을 잘 못 자도
어디쯤을 지나는 걸까
매번 똑같이 궁금해도
그냥 너무 빠른 것 같아
나 혼자만 느린 것 같아
그래 그땐 그랬었지 내가
참 좋아했지 힘들어도 다
Yeah right yeah right
내가 나도 모르게
전부 다 놓쳐버리고서
이러는 건지 몰라 몰라
Take it slow
Slow
Go Slow
Slow
아직도 나
그때와 같다면 나는 달라졌을까
어디쯤에 서있을까
잊진 않았을까
내겐 좋았던 기억이 많은데
너도 그랬으면 해
부디 같은 맘이였으면 해
Take it slow
Slow
Go Slow
Slow",https://cdnimg.melon.co.kr/cm/album/images/101/84/682/10184682_500.jpg?a265ec96a50ce16925893fc44fe80c73/melon/resize/282/quality/80/optimize,"SOLE (쏠), THAMA",SOLE (쏠),THAMA
